Trddt,BQ100,Stkcd
2005-08-03,0.9499862885811396,10
2005-08-05,2.173215595058723,10
2005-08-08,1.375541003091708,10
2005-08-10,1.3211349202149154,10
2005-08-11,0.8842795551467773,10
2005-08-16,1.1449064903942476,10
2005-08-17,2.108216458459625,10
2005-08-18,3.4824889930085434,10
2005-08-19,2.385448421958539,10
2005-08-22,1.7372697919418998,10
2005-08-24,1.4916740873401857,10
2005-08-25,2.0016767165855978,10
2005-08-26,3.442834158360924,10
2005-08-29,1.7031700721556926,10
2005-08-30,0.8304403469004153,10
2005-08-31,1.0233536184565513,10
2005-09-01,2.148491435397582,10
2005-09-02,1.886792035702403,10
2005-09-05,2.428842678846927,10
2005-09-06,3.109289483331044,10
2005-09-07,1.2711152407477284,10
2005-09-12,2.224033792795116,10
2005-09-13,2.854262199794823,10
