Trddt,Square,Stkcd
2005-01-17,1.0669475880600032,10
2005-01-18,1.658801833368554,10
2005-01-19,0.255152288754061,10
2005-01-20,0.5134901515546523,10
2005-01-21,0.5242121400184803,10
2005-01-24,0.2903535003756866,10
2005-01-25,2.442901507613083,10
2005-01-26,0.3680754452538258,10
2005-01-27,0.6377273037360361,10
2005-01-28,3.511390005610585,10
2005-02-01,1.8395737870083877,10
2005-02-02,0.9520075880249804,10
2005-02-16,0.4596701596012078,10
2005-02-28,0.4732821972896719,10
2005-03-02,0.820712181473764,10
2005-03-04,0.3526701626903167,10
2005-03-07,1.956961174167058,10
2005-03-08,1.0259276445195444,10
2005-03-09,0.4377397983496783,10
2005-03-14,0.1493171111297355,10
2005-03-17,0.2628506670862685,10
2005-03-21,0.1563364697501639,10
