Trddt,conBeta,disconBeta,Stkcd
2005-09-01,0.962933415104728,1.423180447630711,2
2005-09-02,1.0007184287971735,1.1148059897411944,2
2005-09-05,1.0054561333501195,1.1397298089094583,2
2005-09-06,1.0192794787193955,1.140123780192957,2
2005-09-07,1.0308911062706714,1.1643693224746927,2
2005-09-09,1.023116777071973,1.160489502433003,2
2005-09-12,1.0348506817577316,1.1584765521120273,2
2005-09-13,1.055804241506154,1.1620766231122506,2
2005-09-14,1.0612609011269871,1.1633073611879252,2
2005-09-15,1.087376889368919,1.085698022828136,2
2005-09-16,1.0995378168411412,1.085555018473022,2
2005-09-19,1.0950052030651891,1.0861002657906431,2
2005-09-20,1.0916983556530446,1.0870172546885266,2
2005-09-21,1.0993110610794452,1.086146976436844,2
2005-09-22,1.0919656000788405,1.0809627343059869,2
2005-09-23,1.0957211011589547,1.085355590262514,2
2005-09-26,1.091735390273775,1.0848174190915996,2
2005-09-27,1.0910931798549055,1.0839407273349102,2
2005-09-28,1.1010151991479382,1.0850850107493228,2
2005-09-29,1.1021308636105174,1.0866061584983766,2
2005-09-30,1.106457992036802,1.088828936277085,2
2005-10-20,1.101486779800196,1.0865565712789085,2
2005-10-21,1.0998018779013157,1.085789021112266,2
2005-10-24,1.1132713413182591,1.085656727962781,2
2005-10-25,1.106356823415504,1.0764320882825964,2
2005-10-26,1.1109339301898284,1.569236292386884,2
2005-10-27,1.131538018631524,1.5847559273229483,2
2005-10-28,1.1175768657704617,1.5913619223291635,2
2005-10-31,1.1255825372967614,1.585435972971018,2
2005-11-01,1.125598398470911,1.5843235609829067,2
2005-11-02,1.1217598600274656,1.6092603656347808,2
2005-11-03,1.1015218942009186,1.6026816862107789,2
2005-11-04,1.09566740964276,1.6034984019812966,2
2005-12-02,1.046465409826817,1.624019172755361,2
2005-12-05,1.0515152223677728,1.5750376391518066,2
2005-12-06,1.0246465632889692,1.5595273703276935,2
2005-12-07,1.018130873725753,1.5542242786888223,2
2005-12-08,0.9967473489708488,1.549048728522599,2
2005-12-09,0.9927497141945634,1.5472390202709871,2
2005-12-12,0.9821285261654074,1.5515741101010796,2
2005-12-13,0.9652007043519824,1.5463572291207346,2
2005-12-14,0.9602200318296282,1.5341121044808004,2
2005-12-15,0.9663427968638906,1.5047846555504194,2
2005-12-16,0.9683146922874872,1.5066635020131125,2
2005-12-19,0.960601620418055,1.5038982011084252,2
2005-12-20,0.9587327314645614,1.502438251497679,2
2005-12-21,0.9371370415295358,1.501693331481457,2
2005-12-22,0.9381691091435282,1.493058916655746,2
2005-12-23,0.9328413632231936,1.484488131125595,2
2005-12-26,0.912800898141186,1.497284007275557,2
2005-12-27,0.9233074352493764,1.510035457389201,2
2005-12-28,0.8916946935745889,1.4319764214246835,2
2005-12-29,0.8639728560886246,1.4327053340709692,2
2005-12-30,0.8733072454843498,1.4521475420634518,2
2005-07-11,1.514969114701907,1.6028162267425556,4
2005-07-12,1.5224927251962908,1.4653042520393282,4
2005-07-13,1.536459239659853,1.4671463146384176,4
2005-07-14,1.5332166162697216,1.4666665316641934,4
2005-07-15,1.5406641264003451,1.466572412038474,4
2005-07-18,1.5455472869667348,1.4697009962414629,4
2005-07-19,1.54109255939046,1.473175967929726,4
2005-07-20,1.5345086436031623,1.4702640556454825,4
2005-07-21,1.5426125307085747,1.4695288291108803,4
2005-07-22,1.5329147138858228,1.464794581914544,4
2005-07-25,1.5095033478642736,1.461340443058262,4
2005-07-26,1.511323878901375,1.4660498139970064,4
2005-07-27,1.5039983772839378,1.4535310245842454,4
2005-07-28,1.507207464854886,1.453952421391287,4
2005-07-29,1.522787754044837,1.3915212956185277,4
2005-08-01,1.5184920091226588,1.3890287845130491,4
2005-08-02,1.487141391023579,1.3792268035369435,4
2005-08-03,1.4980670005062442,1.3628876565675352,4
2005-08-04,1.4825783918783144,1.35808461997645,4
2005-08-05,1.4894553361700642,1.35287061106054,4
2005-08-08,1.4457374309127788,1.346880216919354,4
2005-08-09,1.4523471760055158,1.3455203056753595,4
2005-08-10,1.4494839949951153,1.3314765399427024,4
2005-08-11,1.4346673760682258,1.331720925124583,4
2005-08-16,1.415453042335171,1.3313262314625194,4
2005-08-17,1.450036310011476,1.3350446750337157,4
2005-08-18,1.4145633240908435,1.3776841696967252,4
2005-08-19,1.425524641342921,1.4323649137898202,4
2005-08-22,1.441162103061549,1.435344276571037,4
2005-08-23,1.4414384555231956,1.4371097192042968,4
2005-08-24,1.4509827330545553,1.440347114146583,4
2005-08-25,1.4669046160972372,1.4434504163127484,4
2005-08-26,1.48212647891193,1.440558621382412,4
2005-08-29,1.488880851984734,1.4419238656672024,4
2005-08-30,1.5028903505491946,1.4239554867198865,4
2005-08-31,1.5331036137243603,1.428790420205589,4
2005-09-01,1.5240841061235515,1.4016600682132283,4
2005-09-02,1.5711475487941224,1.7101731959863888,4
2005-09-05,1.632581368659472,1.7914640080223556,4
2005-09-06,1.5447401580744626,1.7580348552609784,4
2005-09-07,1.5484394497545082,1.8011426994132054,4
2005-09-09,1.5529581111749091,1.8027747537139316,4
2005-09-12,1.5491038756163586,1.803094469627195,4
2005-09-13,1.535677330689366,1.792846492334203,4
2005-09-14,1.507831466959115,1.7946850184311605,4
2005-09-15,1.5192995197817103,1.7883805973894398,4
2005-09-16,1.5212765196901814,1.7751925123023724,4
2005-09-19,1.5364434225227606,1.7772485744188329,4
2005-09-20,1.5274718354919083,1.777890980022463,4
2005-09-21,1.500475124193699,1.7747724305658472,4
2005-09-22,1.4596158779090267,1.766327234968208,4
2005-09-23,1.471195636500024,1.7633838731420115,4
2005-09-26,1.47327807320291,1.7614917264402603,4
2005-09-27,1.467620654030826,1.7610348571179455,4
2005-09-28,1.4719102038758425,1.7303322719381815,4
2005-09-29,1.4771555864270147,1.726901213000027,4
2005-09-30,1.480779998030319,1.7281882982549677,4
2005-10-10,1.4783708181237836,1.727520870828941,4
2005-10-11,1.5102215031021915,1.7314339279998945,4
2005-10-12,1.5124488415352362,1.7308952479906867,4
2005-10-13,1.517838336264075,1.6879198373215731,4
2005-10-14,1.5005715290316246,2.7211459415011188,4
2005-10-19,1.4661723161519018,2.7284135433954364,4
2005-10-20,1.4556152137608085,2.7511637550305235,4
2005-10-21,1.4817272707562386,2.755497910333128,4
2005-10-24,1.4855773142454218,2.7505413175106166,4
2005-10-25,1.5118324738137523,2.770452870770092,4
2005-10-26,1.510077027320671,2.7785501706290474,4
