stkcd,date,time,open,high,low,close,volume,turnover
4,2005-02-01,14:45:00,5.81,5.81,5.81,5.81,7300.0,42412.99999999977
4,2005-02-01,14:46:00,5.8,5.8,5.8,5.8,2600.0,15097.0
4,2005-02-01,14:47:00,5.8,5.8,5.8,5.8,11930.0,69202.0
4,2005-02-01,14:48:00,5.8,5.8,5.8,5.8,8700.0,50464.0
4,2005-02-01,14:49:00,5.8,5.8,5.8,5.8,7400.0,42920.0
4,2005-02-01,14:50:00,5.8,5.8,5.8,5.8,4500.0,26110.0
4,2005-02-01,14:51:00,5.8,5.82,5.8,5.8,1300.0,7546.0
4,2005-02-01,14:52:00,5.8,5.8,5.8,5.8,1000.0,5800.0
4,2005-02-01,14:53:00,5.8,5.82,5.8,5.82,2600.0,15094.0
4,2005-02-01,14:55:00,5.8,5.82,5.8,5.82,7800.0,45284.0
4,2005-02-01,14:56:00,5.82,5.82,5.82,5.82,2300.0,13386.0
4,2005-02-01,14:57:00,5.83,5.83,5.81,5.81,1700.0,9885.0
4,2005-02-01,14:58:00,5.81,5.83,5.81,5.83,5900.0,34345.0
4,2005-02-02,09:30:00,5.9,5.9,5.9,5.9,1200.0,7080.0
4,2005-02-02,09:32:00,5.9,5.9,5.9,5.9,400.0,2360.0
4,2005-02-02,09:33:00,5.9,5.9,5.9,5.9,1900.0,11210.0
4,2005-02-02,09:34:00,5.89,5.89,5.89,5.89,1000.0,5890.0
4,2005-02-02,09:38:00,5.88,5.88,5.88,5.88,900.0,5292.0
4,2005-02-02,09:39:00,5.88,5.88,5.88,5.88,100.0,588.0
4,2005-02-02,09:43:00,5.87,5.87,5.87,5.87,300.0,1761.0
4,2005-02-02,09:45:00,5.87,5.87,5.87,5.87,1800.0,10559.0
4,2005-02-02,09:48:00,5.87,5.87,5.87,5.87,200.0,1174.0
4,2005-02-02,09:49:00,5.87,5.87,5.87,5.87,400.0,2348.0
4,2005-02-02,09:51:00,5.88,5.88,5.88,5.88,2000.0,11751.0
4,2005-02-02,09:58:00,5.85,5.85,5.85,5.85,200.0,1170.0
4,2005-02-02,09:59:00,5.86,5.86,5.85,5.85,1200.0,7023.0
4,2005-02-02,10:00:00,5.85,5.85,5.85,5.85,500.0,2925.0
4,2005-02-02,10:01:00,5.86,5.86,5.86,5.86,400.0,2343.0
4,2005-02-02,10:02:00,5.84,5.84,5.84,5.84,700.0,4088.0
4,2005-02-02,10:03:00,5.86,5.86,5.86,5.86,2600.0,15236.0
4,2005-02-02,10:04:00,5.86,5.86,5.86,5.86,1000.0,5860.0
4,2005-02-02,10:07:00,5.86,5.86,5.86,5.86,600.0,3516.0
4,2005-02-02,10:08:00,5.87,5.87,5.87,5.87,4000.0,23480.0
4,2005-02-02,10:09:00,5.87,5.87,5.87,5.87,400.0,2348.0
4,2005-02-02,10:10:00,5.88,5.88,5.88,5.88,2900.0,17052.0
4,2005-02-02,10:11:00,5.89,5.89,5.89,5.89,600.0,3532.0
4,2005-02-02,10:12:00,5.89,5.89,5.89,5.89,500.0,2945.0
4,2005-02-02,10:13:00,5.9,5.9,5.9,5.9,3600.0,21239.0
4,2005-02-02,10:14:00,5.93,5.93,5.93,5.93,400.0,2372.0
4,2005-02-02,10:15:00,5.95,5.95,5.95,5.95,700.0,4165.0
4,2005-02-02,10:16:00,5.95,5.95,5.9,5.9,300.0,1775.0
4,2005-02-02,10:17:00,5.93,5.93,5.93,5.93,400.0,2372.0
4,2005-02-02,10:18:00,5.91,5.91,5.91,5.91,2600.0,15366.0
4,2005-02-02,10:19:00,5.9,5.93,5.9,5.93,1700.0,10066.0
4,2005-02-02,10:20:00,5.95,5.95,5.93,5.93,800.0,4750.0
4,2005-02-02,10:22:00,5.95,5.95,5.93,5.93,1300.0,7729.0
4,2005-02-02,10:23:00,5.93,5.93,5.93,5.93,800.0,4744.0
4,2005-02-02,10:26:00,5.92,5.92,5.91,5.91,1100.0,6508.0
4,2005-02-02,10:27:00,5.91,5.92,5.91,5.92,2500.0,14788.0
