Unnamed: 0,rf,mkt,smb,vmg
2005-09-28,6.1e-05,-0.00098297,-0.001941697,0.004927481
2005-09-29,6.1e-05,0.022125945,0.003412864,-0.004098519
2005-09-30,6.1e-05,-8.92e-05,-0.006144036,0.005525252
2005-10-10,6.1e-05,-0.014560737,-0.002391883,0.00778761
2005-10-11,6.1e-05,0.017965877,0.008291255,-0.008100927
2005-10-12,6.1e-05,0.005163595,0.006628102,0.000166055
2005-10-13,6.1e-05,-0.008658145,0.002913126,-0.001623626
2005-10-14,6.1e-05,-0.012509584,-0.000642819,0.00114571
2005-10-17,6.1e-05,-0.006258687,0.00558256,-0.007776938
2005-10-18,6.1e-05,0.01037733,0.013967698,-0.003343994
2005-10-19,6.1e-05,-0.005931588,-0.000911545,-0.007629283
2005-10-20,6.1e-05,0.000296324,-0.00214144,0.006832656
2005-10-21,6.1e-05,0.006216311,0.004199241,-0.004931889
2005-10-24,6.1e-05,0.002366648,0.000333801,-0.000972474
2005-10-25,6.1e-05,-0.018403258,-0.010435748,0.003554148
2005-10-26,6.1e-05,-0.02406166,-0.006159539,0.010736751
2005-10-27,6.1e-05,0.001305372,-0.007547895,0.018451415
2005-10-28,6.1e-05,-0.018093281,-0.022594688,0.003965627
2005-10-31,6.1e-05,0.011512435,-0.005165058,-0.005996085
2005-11-01,6.1e-05,-0.00261732,-0.007694946,-0.005599045
2005-11-02,6.1e-05,0.015612076,0.011697083,-0.009720435
2005-11-03,6.1e-05,-0.007675772,-0.003579257,-0.002500558
2005-11-04,6.1e-05,0.004722721,0.005138526,-0.002355192
2005-11-07,6.1e-05,0.001700736,0.009963786,-0.007796128
2005-11-08,6.1e-05,0.008625371,0.002756351,-0.000639481
2005-11-09,6.1e-05,-0.002410676,-0.002630346,0.00541135
2005-11-10,6.1e-05,-0.020528673,-0.016017042,0.003286386
2005-11-11,6.1e-05,0.002316303,0.00254095,-0.006383151
2005-11-14,6.1e-05,-0.000939203,0.009308913,-0.007129902
2005-11-15,6.1e-05,-0.002020679,-0.001524813,0.000653027
2005-11-16,6.1e-05,0.009008981,0.000793092,-0.002961389
2005-11-17,6.1e-05,-0.00054909,0.000746138,0.001155556
2005-11-18,6.1e-05,0.022850994,0.002505596,0.003411076
2005-11-21,6.1e-05,0.002559964,0.0041107,-0.003111245
2005-11-22,6.1e-05,-0.021447018,-0.004036681,0.004244068
